im_name,accuracy,psnr,snr
Tsukuba_f_0_27_7.png,88.59,14.17,7.38
Tsukuba_f_0_27_8.png,88.59,14.17,7.38
Tsukuba_f_0_27_9.png,88.58,14.17,7.38
Tsukuba_f_0_28_0.png,88.6,14.17,7.38
Tsukuba_f_0_28_1.png,88.6,14.17,7.38
Tsukuba_f_0_28_10.png,88.59,14.17,7.38
Tsukuba_f_0_28_11.png,88.57,14.17,7.38
Tsukuba_f_0_28_12.png,88.6,14.17,7.38
Tsukuba_f_0_28_13.png,88.78,14.2,7.41
Tsukuba_f_0_28_14.png,88.68,14.17,7.38
Tsukuba_f_0_28_15.png,88.99,14.22,7.43
Tsukuba_f_0_28_16.png,87.33,15.83,9.04
Tsukuba_f_0_28_17.png,83.25,12.64,5.85
Tsukuba_f_0_28_18.png,88.63,14.18,7.39
Tsukuba_f_0_28_2.png,88.6,14.17,7.38
Tsukuba_f_0_28_3.png,88.6,14.17,7.38
Tsukuba_f_0_28_4.png,88.6,14.17,7.38
Tsukuba_f_0_28_5.png,88.59,14.17,7.38
Tsukuba_f_0_28_6.png,88.59,14.17,7.38
Tsukuba_f_0_28_7.png,88.59,14.17,7.38
Tsukuba_f_0_28_8.png,88.59,14.17,7.38
Tsukuba_f_0_28_9.png,88.58,14.17,7.38
Tsukuba_f_0_29_0.png,88.6,14.17,7.38
Tsukuba_f_0_29_1.png,88.6,14.17,7.38
Tsukuba_f_0_29_10.png,88.59,14.17,7.38
Tsukuba_f_0_29_11.png,88.57,14.17,7.38
Tsukuba_f_0_29_12.png,88.6,14.17,7.38
Tsukuba_f_0_29_13.png,88.78,14.2,7.41
Tsukuba_f_0_29_14.png,88.68,14.17,7.38
Tsukuba_f_0_29_15.png,88.99,14.22,7.43
Tsukuba_f_0_29_16.png,87.33,15.83,9.04
Tsukuba_f_0_29_17.png,83.25,12.64,5.85
Tsukuba_f_0_29_18.png,88.63,14.18,7.39
Tsukuba_f_0_29_2.png,88.6,14.17,7.38
Tsukuba_f_0_29_3.png,88.6,14.17,7.38
Tsukuba_f_0_29_4.png,88.6,14.17,7.38
Tsukuba_f_0_29_5.png,88.59,14.17,7.38
Tsukuba_f_0_29_6.png,88.59,14.17,7.38
Tsukuba_f_0_29_7.png,88.59,14.17,7.38
Tsukuba_f_0_29_8.png,88.59,14.17,7.38
Tsukuba_f_0_29_9.png,88.58,14.17,7.38
Tsukuba_f_0_2_0.png,88.6,14.17,7.38
Tsukuba_f_0_2_1.png,88.6,14.17,7.38
Tsukuba_f_0_2_10.png,88.68,14.2,7.41
Tsukuba_f_0_2_11.png,87.79,13.63,6.84
Tsukuba_f_0_2_12.png,88.15,14.02,7.23
Tsukuba_f_0_2_13.png,88.6,14.17,7.38
Tsukuba_f_0_2_14.png,88.6,14.17,7.38
Tsukuba_f_0_2_15.png,88.6,14.18,7.39
Tsukuba_f_0_2_16.png,88.59,14.19,7.4
Tsukuba_f_0_2_17.png,88.6,14.17,7.38
Tsukuba_f_0_2_18.png,88.6,14.17,7.38
Tsukuba_f_0_2_2.png,88.6,14.17,7.38
Tsukuba_f_0_2_3.png,88.6,14.17,7.38
Tsukuba_f_0_2_4.png,88.61,14.17,7.38
Tsukuba_f_0_2_5.png,88.61,14.17,7.38
Tsukuba_f_0_2_6.png,88.63,14.18,7.39
Tsukuba_f_0_2_7.png,88.67,14.18,7.39
Tsukuba_f_0_2_8.png,88.74,14.2,7.41
Tsukuba_f_0_2_9.png,88.61,14.18,7.4
Tsukuba_f_0_30_0.png,88.6,14.17,7.38
Tsukuba_f_0_30_1.png,88.6,14.17,7.38
Tsukuba_f_0_30_10.png,88.76,14.32,7.53
Tsukuba_f_0_30_11.png,87.29,13.99,7.2
Tsukuba_f_0_30_12.png,88.14,13.54,6.75
Tsukuba_f_0_30_13.png,88.6,14.17,7.38
Tsukuba_f_0_30_14.png,88.6,14.17,7.38
Tsukuba_f_0_30_15.png,88.6,14.17,7.39
Tsukuba_f_0_30_16.png,88.6,14.17,7.38
Tsukuba_f_0_30_17.png,88.6,14.17,7.38
Tsukuba_f_0_30_18.png,88.6,14.17,7.38
Tsukuba_f_0_30_2.png,88.6,14.17,7.38
Tsukuba_f_0_30_3.png,88.6,14.17,7.38
Tsukuba_f_0_30_4.png,88.6,14.17,7.38
Tsukuba_f_0_30_5.png,88.61,14.17,7.38
Tsukuba_f_0_30_6.png,88.62,14.18,7.39
Tsukuba_f_0_30_7.png,88.64,14.18,7.39
Tsukuba_f_0_30_8.png,88.74,14.21,7.42
Tsukuba_f_0_30_9.png,88.68,14.23,7.44
Tsukuba_f_0_31_0.png,88.6,14.17,7.38
Tsukuba_f_0_31_1.png,88.6,14.17,7.38
Tsukuba_f_0_31_10.png,88.59,14.17,7.38
Tsukuba_f_0_31_11.png,88.57,14.17,7.38
Tsukuba_f_0_31_12.png,88.6,14.17,7.38
Tsukuba_f_0_31_13.png,88.78,14.2,7.41
Tsukuba_f_0_31_14.png,88.68,14.17,7.38
Tsukuba_f_0_31_15.png,88.99,14.22,7.43
Tsukuba_f_0_31_16.png,87.33,15.83,9.04
Tsukuba_f_0_31_17.png,83.25,12.64,5.85
Tsukuba_f_0_31_18.png,88.63,14.18,7.39
Tsukuba_f_0_31_2.png,88.6,14.17,7.38
Tsukuba_f_0_31_3.png,88.6,14.17,7.38
Tsukuba_f_0_31_4.png,88.6,14.17,7.38
Tsukuba_f_0_31_5.png,88.59,14.17,7.38
Tsukuba_f_0_31_6.png,88.59,14.17,7.38
Tsukuba_f_0_31_7.png,88.59,14.17,7.38
Tsukuba_f_0_31_8.png,88.59,14.17,7.38
Tsukuba_f_0_31_9.png,88.58,14.17,7.38
Tsukuba_f_0_32_0.png,88.6,14.17,7.38
Tsukuba_f_0_32_1.png,88.6,14.17,7.38
Tsukuba_f_0_32_10.png,88.59,14.17,7.38
Tsukuba_f_0_32_11.png,88.57,14.17,7.38
Tsukuba_f_0_32_12.png,88.6,14.17,7.38
Tsukuba_f_0_32_13.png,88.78,14.2,7.41
