im_name,accuracy,psnr,snr
Venus_f_0_19_10.png,92.17,20.78,10.27
Venus_f_0_19_11.png,72.11,15.76,5.25
Venus_f_0_19_12.png,93.06,21.1,10.59
Venus_f_0_19_13.png,95.42,22.67,12.16
Venus_f_0_19_14.png,95.42,22.67,12.16
Venus_f_0_19_15.png,95.42,22.67,12.16
Venus_f_0_19_16.png,95.42,22.67,12.16
Venus_f_0_19_17.png,95.42,22.67,12.16
Venus_f_0_19_18.png,95.42,22.67,12.16
Venus_f_0_19_2.png,95.42,22.67,12.16
Venus_f_0_19_3.png,95.42,22.67,12.16
Venus_f_0_19_4.png,95.42,22.67,12.16
Venus_f_0_19_5.png,95.41,22.66,12.15
Venus_f_0_19_6.png,95.4,22.66,12.15
Venus_f_0_19_7.png,95.36,22.62,12.11
Venus_f_0_19_8.png,95.27,22.57,12.05
Venus_f_0_19_9.png,94.8,22.28,11.77
Venus_f_0_1_0.png,95.42,22.67,12.16
Venus_f_0_1_1.png,95.42,22.67,12.16
Venus_f_0_1_10.png,92.19,20.67,10.16
Venus_f_0_1_11.png,73.56,15.64,5.12
Venus_f_0_1_12.png,94.22,21.76,11.25
Venus_f_0_1_13.png,95.42,22.67,12.16
Venus_f_0_1_14.png,95.41,22.67,12.16
Venus_f_0_1_15.png,95.41,22.67,12.16
Venus_f_0_1_16.png,95.72,22.21,11.7
Venus_f_0_1_17.png,95.42,22.67,12.16
Venus_f_0_1_18.png,95.42,22.67,12.16
Venus_f_0_1_2.png,95.42,22.67,12.16
Venus_f_0_1_3.png,95.42,22.67,12.16
Venus_f_0_1_4.png,95.42,22.67,12.16
Venus_f_0_1_5.png,95.41,22.66,12.15
Venus_f_0_1_6.png,95.4,22.66,12.14
Venus_f_0_1_7.png,95.35,22.62,12.11
Venus_f_0_1_8.png,95.25,22.56,12.05
Venus_f_0_1_9.png,94.65,22.21,11.7
Venus_f_0_20_0.png,95.42,22.67,12.16
Venus_f_0_20_1.png,95.42,22.67,12.16
Venus_f_0_20_10.png,95.42,22.67,12.16
Venus_f_0_20_11.png,95.42,22.67,12.16
Venus_f_0_20_12.png,95.42,22.67,12.16
Venus_f_0_20_13.png,95.47,22.67,12.16
Venus_f_0_20_14.png,95.46,22.66,12.15
Venus_f_0_20_15.png,95.74,22.77,12.26
Venus_f_0_20_16.png,77.93,17.58,7.07
Venus_f_0_20_17.png,12.58,13.11,2.6
Venus_f_0_20_18.png,95.42,22.67,12.16
Venus_f_0_20_2.png,95.42,22.67,12.16
Venus_f_0_20_3.png,95.42,22.67,12.16
Venus_f_0_20_4.png,95.42,22.67,12.16
Venus_f_0_20_5.png,95.42,22.67,12.16
Venus_f_0_20_6.png,95.42,22.67,12.16
Venus_f_0_20_7.png,95.42,22.67,12.16
Venus_f_0_20_8.png,95.42,22.67,12.16
Venus_f_0_20_9.png,95.42,22.67,12.16
Venus_f_0_21_0.png,95.42,22.67,12.16
Venus_f_0_21_1.png,95.42,22.67,12.16
Venus_f_0_21_10.png,95.42,22.67,12.16
Venus_f_0_21_11.png,95.42,22.67,12.16
Venus_f_0_21_12.png,95.42,22.67,12.16
Venus_f_0_21_13.png,95.47,22.67,12.16
Venus_f_0_21_14.png,95.46,22.66,12.15
Venus_f_0_21_15.png,95.74,22.77,12.26
Venus_f_0_21_16.png,77.93,17.58,7.07
Venus_f_0_21_17.png,12.58,13.11,2.6
Venus_f_0_21_18.png,95.42,22.67,12.16
Venus_f_0_21_2.png,95.42,22.67,12.16
Venus_f_0_21_3.png,95.42,22.67,12.16
Venus_f_0_21_4.png,95.42,22.67,12.16
Venus_f_0_21_5.png,95.42,22.67,12.16
Venus_f_0_21_6.png,95.42,22.67,12.16
Venus_f_0_21_7.png,95.42,22.67,12.16
Venus_f_0_21_8.png,95.42,22.67,12.16
Venus_f_0_21_9.png,95.42,22.67,12.16
Venus_f_0_22_0.png,95.42,22.67,12.16
Venus_f_0_22_1.png,95.42,22.67,12.16
Venus_f_0_22_10.png,95.42,22.67,12.16
Venus_f_0_22_11.png,95.42,22.67,12.16
Venus_f_0_22_12.png,95.42,22.67,12.16
Venus_f_0_22_13.png,95.47,22.67,12.16
Venus_f_0_22_14.png,95.46,22.66,12.15
Venus_f_0_22_15.png,95.74,22.77,12.26
Venus_f_0_22_16.png,77.93,17.58,7.07
Venus_f_0_22_17.png,12.58,13.11,2.6
Venus_f_0_22_18.png,95.42,22.67,12.16
Venus_f_0_22_2.png,95.42,22.67,12.16
Venus_f_0_22_3.png,95.42,22.67,12.16
Venus_f_0_22_4.png,95.42,22.67,12.16
Venus_f_0_22_5.png,95.42,22.67,12.16
Venus_f_0_22_6.png,95.42,22.67,12.16
Venus_f_0_22_7.png,95.42,22.67,12.16
Venus_f_0_22_8.png,95.42,22.67,12.16
Venus_f_0_22_9.png,95.42,22.67,12.16
Venus_f_0_23_0.png,95.42,22.67,12.16
Venus_f_0_23_1.png,95.42,22.67,12.16
Venus_f_0_23_10.png,95.42,22.67,12.16
Venus_f_0_23_11.png,95.42,22.67,12.16
Venus_f_0_23_12.png,95.42,22.67,12.16
Venus_f_0_23_13.png,95.47,22.67,12.16
Venus_f_0_23_14.png,95.46,22.66,12.15
Venus_f_0_23_15.png,95.74,22.77,12.26
Venus_f_0_23_16.png,77.93,17.58,7.07
Venus_f_0_23_17.png,12.58,13.11,2.6
Venus_f_0_23_18.png,95.42,22.67,12.16
Venus_f_0_23_2.png,95.42,22.67,12.16
Venus_f_0_23_3.png,95.42,22.67,12.16
Venus_f_0_23_4.png,95.42,22.67,12.16
Venus_f_0_23_5.png,95.42,22.67,12.16
Venus_f_0_23_6.png,95.42,22.67,12.16
Venus_f_0_23_7.png,95.42,22.67,12.16
Venus_f_0_23_8.png,95.42,22.67,12.16
Venus_f_0_23_9.png,95.42,22.67,12.16
Venus_f_0_24_0.png,95.42,22.67,12.16
Venus_f_0_24_1.png,95.42,22.67,12.16
Venus_f_0_24_10.png,95.42,22.67,12.16
Venus_f_0_24_11.png,95.43,22.68,12.16
Venus_f_0_24_12.png,95.42,22.67,12.16
Venus_f_0_24_13.png,95.47,22.67,12.16
Venus_f_0_24_14.png,95.46,22.66,12.15
Venus_f_0_24_15.png,95.74,22.77,12.26
Venus_f_0_24_16.png,77.93,17.58,7.07
Venus_f_0_24_17.png,12.58,13.11,2.6
Venus_f_0_24_18.png,95.42,22.67,12.16
Venus_f_0_24_2.png,95.42,22.67,12.16
Venus_f_0_24_3.png,95.42,22.67,12.16
Venus_f_0_24_4.png,95.42,22.67,12.16
Venus_f_0_24_5.png,95.42,22.67,12.16
Venus_f_0_24_6.png,95.42,22.67,12.16
Venus_f_0_24_7.png,95.42,22.67,12.16
Venus_f_0_24_8.png,95.43,22.68,12.16
Venus_f_0_24_9.png,95.43,22.68,12.16
Venus_f_0_25_0.png,95.42,22.67,12.16
Venus_f_0_25_1.png,95.42,22.67,12.16
Venus_f_0_25_10.png,95.42,22.67,12.16
Venus_f_0_25_11.png,95.43,22.68,12.16
Venus_f_0_25_12.png,95.42,22.67,12.16
Venus_f_0_25_13.png,95.47,22.67,12.16
Venus_f_0_25_14.png,95.46,22.66,12.15
Venus_f_0_25_15.png,95.74,22.77,12.26
Venus_f_0_25_16.png,77.93,17.58,7.07
Venus_f_0_25_17.png,12.58,13.11,2.6
Venus_f_0_25_18.png,95.42,22.67,12.16
Venus_f_0_25_2.png,95.42,22.67,12.16
Venus_f_0_25_3.png,95.42,22.67,12.16
Venus_f_0_25_4.png,95.42,22.67,12.16
Venus_f_0_25_5.png,95.42,22.67,12.16
Venus_f_0_25_6.png,95.42,22.67,12.16
Venus_f_0_25_7.png,95.42,22.67,12.16
Venus_f_0_25_8.png,95.43,22.68,12.16
Venus_f_0_25_9.png,95.43,22.68,12.16
Venus_f_0_26_0.png,95.42,22.67,12.16
Venus_f_0_26_1.png,95.42,22.67,12.16
Venus_f_0_26_10.png,95.42,22.67,12.16
Venus_f_0_26_11.png,95.43,22.68,12.16
Venus_f_0_26_12.png,95.42,22.67,12.16
Venus_f_0_26_13.png,95.47,22.67,12.16
